SUBJNO,BLOCKNUM,BLOCKSIZE,NUMINBLOCK,TERM1,OP,TERM2,TERM3,ANSWER,PROBE,PROBETYPE,DIFFIC,MATHRESP,MATHACC,TIMEOUT,TBRLETTER,TYPED,RECALLED,MATHTIME,TFTIME,MAXTIME
2,Cal,15,1,7,*,7,3,52,52,1,4,1,1,0,-,-,-1,5.0532,0.9929,9999.0000
2,Cal,15,2,6,/,2,8,11,8,0,1,0,1,0,-,-,-1,0.0146,1.9986,9999.0000
2,Cal,15,3,7,*,9,-2,61,61,1,4,0,0,0,-,-,-1,4.8492,1.2561,9999.0000
2,Cal,15,4,1,*,2,1,3,3,1,1,1,1,0,-,-,-1,2.3478,0.4504,9999.0000
2,Cal,15,5,9,/,1,-3,6,13,0,1,0,1,0,-,-,-1,1.5440,0.5647,9999.0000
2,Cal,15,6,1,*,4,4,8,8,1,1,1,1,0,-,-,-1,1.3280,0.3986,9999.0000
2,Cal,15,7,4,*,6,3,27,27,1,3,1,1,0,-,-,-1,2.2080,0.4549,9999.0000
2,Cal,15,8,6,*,8,9,57,51,0,4,0,1,0,-,-,-1,2.4047,3.0753,9999.0000
2,Cal,15,9,5,*,9,-8,37,37,1,4,1,1,0,-,-,-1,4.6290,2.4086,9999.0000
2,Cal,15,10,9,/,9,9,10,17,0,1,0,1,0,-,-,-1,1.6732,0.5601,9999.0000
2,Cal,15,11,4,*,9,-2,34,39,0,3,0,1,0,-,-,-1,3.4828,0.7776,9999.0000
2,Cal,15,12,3,*,5,9,24,24,1,2,1,1,0,-,-,-1,2.1339,0.8601,9999.0000
2,Cal,15,13,8,/,4,9,11,11,1,1,1,1,0,-,-,-1,1.9720,0.8037,9999.0000
2,Cal,15,14,5,*,8,9,49,51,0,4,0,1,0,-,-,-1,3.9704,0.5063,9999.0000
2,Cal,15,15,6,*,7,-4,38,37,0,4,0,1,0,-,-,-1,2.6028,1.6709,9999.0000
2,Prac1,2,1,6,/,3,8,10,18,0,1,0,1,0,L,l,1,2.8183,0.6675,8.0965
2,Prac1,2,2,7,*,5,2,37,37,1,3,1,1,0,S,s,1,3.2139,0.4966,8.0965
2,Prac2,3,1,2,*,7,-3,11,11,1,2,1,1,0,T,t\,0,1.8688,0.7725,8.0965
2,Prac2,3,2,2,*,9,-2,16,21,0,2,0,1,0,L,l,1,2.6375,0.6604,8.0965
2,Prac2,3,3,8,*,7,4,60,60,1,4,0,0,0,Q,q,1,3.0652,1.1488,8.0965
2,1,6,1,1,*,5,5,10,1,0,1,0,1,0,N,n,1,1.2736,0.5514,8.0965
2,1,6,2,4,*,3,4,16,20,0,2,0,1,0,L,l,1,1.8786,2.3865,8.0965
2,1,6,3,7,/,7,9,10,10,1,1,1,1,0,S,s,1,1.5776,0.4121,8.0965
2,1,6,4,1,*,9,-5,4,1,0,1,0,1,0,P,p,1,1.6616,0.5966,8.0965
2,1,6,5,4,/,4,9,10,10,1,1,1,1,0,J,p,0,2.0791,0.6129,8.0965
2,1,6,6,7,*,4,-4,24,24,1,3,1,1,0,Y,y,1,2.9209,1.0954,8.0965
2,2,4,1,1,/,1,4,5,6,0,1,0,1,0,R,r,1,2.4345,0.8546,8.0965
2,2,4,2,2,/,1,8,10,10,1,1,1,1,0,Q,q,1,2.2668,0.6063,8.0965
2,2,4,3,3,/,1,7,10,10,1,1,1,1,0,Y,y,1,2.1852,0.5538,8.0965
2,2,4,4,2,*,5,-6,4,6,0,2,0,1,0,N,k,0,1.9654,1.1219,8.0965
2,3,3,1,8,*,6,1,49,49,1,4,0,0,0,P,p,1,1.9991,0.5823,8.0965
2,3,3,2,1,*,8,7,15,12,0,1,0,1,0,N,n,1,2.5680,1.0050,8.0965
2,3,3,3,7,*,8,-8,48,55,0,4,0,1,0,J,j,1,2.8330,1.0103,8.0965
2,4,5,1,3,*,7,-1,20,20,1,3,1,1,0,F,f,1,2.4149,1.9544,8.0965
2,4,5,2,8,/,8,8,9,9,1,1,1,1,0,J,j,1,1.2676,1.1276,8.0965
2,4,5,3,9,*,5,2,47,47,1,4,1,1,0,K,k,1,2.9233,1.9039,8.0965
2,4,5,4,8,*,9,7,79,80,0,4,0,1,0,Q,q,1,2.9349,2.3166,8.0965
2,4,5,5,4,*,5,3,23,17,0,3,0,1,0,L,l,1,2.2308,0.5255,8.0965
2,5,7,1,5,*,7,1,36,36,1,3,1,1,0,P,p,1,1.8477,0.9878,8.0965
2,5,7,2,4,*,4,-5,11,15,0,2,0,1,0,T,j,0,2.2610,0.9600,8.0965
2,5,7,3,3,/,3,2,3,3,1,1,1,1,0,Q,q,1,1.5192,0.4977,8.0965
2,5,7,4,2,*,4,3,11,11,1,1,0,0,0,J,t,0,1.3359,1.1494,8.0965
2,5,7,5,3,*,6,6,24,21,0,2,0,1,0,R,k,0,4.6825,1.0264,8.0965
2,5,7,6,9,*,7,2,65,65,1,4,0,0,0,K,r,0,5.9956,1.4383,8.0965
2,5,7,7,8,/,1,-5,3,7,0,1,0,1,0,F,s,0,2.3636,2.9095,8.0965
2,6,5,1,3,*,3,1,10,19,0,1,0,1,0,P,p,1,1.0521,0.8137,8.0965
2,6,5,2,6,*,5,-9,21,21,1,3,0,0,0,J,j,1,1.7901,0.8633,8.0965
2,6,5,3,7,*,3,-4,17,9,0,3,0,1,0,R,r,1,2.0953,0.7684,8.0965
2,6,5,4,1,*,7,-3,4,4,1,1,1,1,0,L,l,1,1.7660,1.3989,8.0965
2,6,5,5,9,*,3,-7,20,29,0,3,0,1,0,F,f,1,4.2364,2.5530,8.0965
2,7,4,1,8,*,3,5,29,24,0,3,0,1,0,Y,y,1,6.9673,1.0423,8.0965
2,7,4,2,9,*,6,-9,45,45,1,4,1,1,0,J,j,1,3.4887,3.0572,8.0965
2,7,4,3,6,*,2,2,14,14,1,2,1,1,0,Q,q,1,1.9747,0.6247,8.0965
2,7,4,4,8,*,5,4,44,42,0,4,0,1,0,P,p,1,4.9519,0.9786,8.0965
2,8,3,1,3,*,4,6,18,18,1,2,1,1,0,J,j,1,1.6504,3.4977,8.0965
2,8,3,2,9,/,3,-2,1,6,0,1,0,1,0,F,f,1,2.3025,0.6560,8.0965
2,8,3,3,6,*,4,-6,18,18,1,3,1,1,0,R,r,1,1.9489,1.5071,8.0965
2,9,6,1,4,*,7,5,33,33,1,3,0,0,0,J,j,1,2.2505,1.7402,8.0965
2,9,6,2,7,/,1,3,10,10,1,1,1,1,0,T,t,1,0.0348,1.3834,8.0965
2,9,6,3,5,*,3,-6,9,4,0,2,0,1,0,R,r,1,2.1134,0.8479,8.0965
2,9,6,4,8,*,8,5,69,69,1,4,1,1,0,N,k,0,1.8541,1.2169,8.0965
2,9,6,5,6,*,3,-6,12,8,0,2,0,1,0,S,s,1,2.3782,0.7786,8.0965
2,9,6,6,5,*,5,1,26,31,0,3,0,1,0,H,h,1,2.9275,2.6954,8.0965
2,10,7,1,5,*,6,2,32,32,1,3,1,1,0,N,n,1,4.6613,0.8241,8.0965
2,10,7,2,6,/,1,3,9,14,0,1,0,1,0,F,f,1,2.3657,0.5607,8.0965
2,10,7,3,3,*,2,5,11,18,0,1,0,1,0,H,h,1,1.9909,0.4890,8.0965
2,10,7,4,5,*,4,-7,13,10,0,3,0,1,0,R,k,0,1.8578,0.6972,8.0965
2,10,7,5,8,*,2,9,25,25,1,2,0,0,0,Y,l,0,2.6700,1.3123,8.0965
2,10,7,6,4,/,1,-3,1,3,0,1,0,1,0,P,r,0,2.4667,0.8652,8.0965
2,10,7,7,6,*,6,9,45,45,1,3,1,1,0,L,p,0,3.4151,1.6160,8.0965
2,11,6,1,4,*,8,-7,25,25,1,3,1,1,0,S,s,1,3.7037,1.6389,8.0965
2,11,6,2,1,*,3,7,10,10,1,1,1,1,0,J,j,1,1.2121,0.4100,8.0965
2,11,6,3,2,/,2,9,10,10,1,1,1,1,0,H,h,1,1.9819,0.4691,8.0965
2,11,6,4,2,*,2,7,11,7,0,1,0,1,0,Y,u,0,1.7069,0.7122,8.0965
2,11,6,5,5,*,2,4,14,17,0,2,0,1,0,N,k,0,1.9616,1.2060,8.0965
2,11,6,6,4,*,2,-2,6,11,0,1,0,1,0,Q,q,1,4.0341,0.6528,8.0965
2,12,5,1,9,*,2,-5,13,7,0,2,0,1,0,T,t,1,1.8434,0.7972,8.0965
2,12,5,2,1,*,6,7,13,16,0,1,0,1,0,L,l,1,2.1658,0.6751,8.0965
2,12,5,3,4,/,2,7,9,9,1,1,1,1,0,Y,y,1,2.2037,0.8775,8.0965
2,12,5,4,7,*,6,-9,33,33,1,4,0,0,0,J,j,1,2.2974,3.1650,8.0965
2,12,5,5,9,*,4,-4,32,33,0,3,0,1,0,H,h,1,3.5512,1.0424,8.0965
2,13,3,1,7,*,2,-4,10,10,1,2,1,1,0,Y,y,1,1.7425,0.8829,8.0965
2,13,3,2,8,/,2,6,10,9,0,1,0,1,0,J,j,1,3.6304,0.6995,8.0965
2,13,3,3,5,/,1,9,14,23,0,1,0,1,0,S,s,1,2.4496,1.1106,8.0965
2,14,7,1,6,*,9,7,61,68,0,4,0,1,0,Y,y,1,4.8088,0.8109,8.0965
2,14,7,2,3,*,8,-4,20,20,1,3,0,0,0,J,j,1,2.0146,0.6965,8.0965
2,14,7,3,9,*,9,5,86,86,1,4,1,1,0,K,k,1,4.1241,0.7934,8.0965
2,14,7,4,8,*,4,-2,30,39,0,3,0,1,0,F,f,1,2.1906,0.8500,8.0965
2,14,7,5,2,*,6,-3,9,8,0,2,0,1,0,S,s,1,2.9518,3.0952,8.0965
2,14,7,6,6,/,6,6,7,7,1,1,1,1,0,L,l,1,3.2034,0.4769,8.0965
2,14,7,7,3,*,9,-5,22,22,1,3,-1,0,1,H,h,1,5.7711,2.3255,8.0965
2,15,4,1,2,*,3,-1,5,5,1,1,1,1,0,Q,q,1,2.0504,0.6437,8.0965
2,15,4,2,5,/,5,2,3,12,0,1,0,1,0,F,f,1,1.6836,0.6681,8.0965
2,15,4,3,9,*,8,-4,68,62,0,4,0,1,0,S,s,1,4.6399,1.2185,8.0965
2,15,4,4,2,*,8,7,23,23,1,2,-1,0,1,L,l,1,6.8518,1.2449,8.0965
